Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,1873184358,1896648045,1962011173,2044134078,2254748603,2359776536,2469832402,2677653631,2843016760,2553631285,2453631285,2637988827,2615083799,2727932961,2791061453,2963128492,2983798883,3092178771,3202234637,3310055866,2496648045,N/A
Afghanistan,N/A,N/A,4055179566,4515558808,5226778809,6209137625,6971285595,9747879532,10109305183,12416161049,15856678596,17805113119,19907317066,20146404996,20497126770,19134211764,18116562465,18753469630,18053228579,18799450743,20116137326,N/A
Angola,9129594819,8936063723,15285594828,17812704825,23552047248,36970918699,52381006892,65266452081,88538610805,70307166934,81699556137,109436531427,124998158418,133401594461,137244418013,87219290029,49840494026,68972763787,77792940077,69309104807,53619071176,72546985709
Albania,3480355258,3922100794,4348068242,5611496257,7184685782,8052073539,8896072919,10677324144,12881353508,12044208086,11926922829,12890764531,12319830437,12776220507,13228147516,11386850130,11861199831,13019689337,15156432310,15401830754,15131866271,18260043500
United Arab Emirates,104337372362,103311640572,109816201498,124346358067,147824370320,180617467965,222116541865,257916133424,315474615739,253547358747,289787452662,350666058392,374590657683,390107528483,403137207535,358134944421,357045156019,385605506855,422215043585,417215559513,358868765175,N/A
Argentina,284203750000,268696750000,97724004252,127586973492,164657930453,198737095012,232557260817,287530508431,361558037110,332976484578,423627422092,530163281575,545982375701,552025140252,526319673732,594749285413,557531376218,643628665302,524819742919,452818426183,389591035521,491492700657
Armenia,1911563669,2118467913,2376335048,2807061009,3576615240,4900469950,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566,12457941907,13619291361,12641209802,13861183874
Antigua and Barbuda,826370370.4,800481481.5,814381481.5,856396296.3,919729629.6,1022962963,1157662963,1312759259,1370070370,1228329630,1148700000,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467977778,1605944444,1687533333,1370281481,1471125926
Australia,415576210513,379083932596,395342716618,467390797903,614166310997,695075176665,747556154537,853955405512,1055127126231,928042998086,1147589183476,1397907916790,1546508558466,1576335282651,1467504819609,1350534154256,1206685107002,1326882872011,1428529571351,1391952510370,1327836171069,1542659899993
Austria,197289625480,197508773215,214394866675,262273631180,301457562039,316092273276,336280064332,389185571506,432051935643,401758735822,392275107259,431685217368,409401816051,430190979706,442584815286,381971148531,395837353031,417261151845,455168151939,445011872704,433258467677,477082467454
Azerbaijan,5272798391,5707720391,6235856820,7276753895,8680370408,13245716099,20982986344,33050343783,48852482960,44291490421,52909294792,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957,40865558912,47112941176,48174235294,42693000000,54622176471
Burundi,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117113046,1273375020,1356199365,1611835902,1781455092,2032135247,2235820868,2333341375,2451606684,2705783272,3104003611,2639321196,2712324087,2660123624,2581268126,2780510625,2902029386
Belgium,236792460312,236746141604,258383599375,318082528507,369214712443,385714762230,408259840869,470922156309,517328087920,483254171098,481420882905,523330354138,496152879925,521791015247,535390200131,462335574841,476062757357,502764720556,543347368038,535376258147,521676942135,599879025378
